Depth	AC	CNL	DEN	GR	PE	RLLD	LIMSTONE	LIMSTON_BP	LIMSTON_DT	LIMSTON_SVM	LIMSTON_STACK	LIMSTON_RF	LIMSTON_ADA	LIMSTON_XGB	LIMSTON_GBC
3464.5	192.897995	9.576	2.740999937	114.8809967	4.05700016	132.21400449999996	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3464.625	195.0910034	9.819	2.733999968	110.3550034	3.921999931	121.77300260000001	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3464.75	194.2070007	9.605	2.704999924	89.67299652	3.744999886	119.39900209999996	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3464.875	193.1560059	9.413	2.671000004	76.12999725	3.576999903	138.0679932	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3465.0	191.0429993	9.325	2.660000086	77.4940033	3.453999996	181.58399960000008	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3465.125	185.2859955	8.766	2.687000036	77.7539978	3.378000021	251.6940002000001	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3465.25	173.8860016	7.456	2.737999916	61.68500137	3.335000038	380.6409912000001	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3465.375	163.3609924	6.014	2.788000107	38.34199905	3.315000057	558.5189818999997	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3465.5	157.2359924	5.027	2.822000027	22.15299988	3.312999964	619.2969971000001	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0
3465.625	155.7649994	4.692	2.835999966	17.40399933	3.325000048	517.4650269	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0
3465.75	158.0690002	5.002	2.836999893	20.43799973	3.335999966	381.60198980000007	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0
3465.875	162.970993	5.888	2.83100009	31.45700073	3.336999893	280.7049866000001	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3466.0	168.7890015	7.186	2.825999975	52.86899948	3.33100009	218.8549956999999	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3466.125	173.6049957	8.507	2.821000099	79.74900055	3.322999954	195.37300109999998	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3466.25	175.2259979	9.296	2.816999912	97.60900116	3.318000078	200.24600220000005	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3466.375	173.3910065	9.264	2.811000109	94.37200165	3.312999964	216.72300720000007	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3466.5	169.3529968	8.653	2.805999994	75.55799866	3.302999973	230.6029968	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3466.625	165.2039948	8.071	2.802000046	52.81800079	3.295000076	232.99200439999998	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3466.75	163.9320068	7.862	2.796000004	39.16899872	3.292999983	224.70100400000004	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3466.875	166.7769928	8.046	2.789000034	41.5870018	3.295000076	215.5019989	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3467.0	171.2619934	8.567	2.782999992	55.58399963	3.29399991	213.02699280000007	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3467.125	173.5690002	9.0	2.78399992	65.51699829	3.289000034	219.7669983000001	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3467.25	171.7339935	8.951	2.792999983	62.56499863	3.28399992	230.8749999999999	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3467.375	168.2070007	8.609	2.808000088	51.83300018	3.289999962	231.3899993999999	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3467.5	166.3029938	8.271	2.822999954	45.68099976	3.309000015	220.75999450000006	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3467.625	166.1369934	8.14	2.832000017	50.25899887	3.335000038	206.83299260000004	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
