max_depth	min_samples_leaf	NO1	NO2	NO3	NO4	NO5	NO6	NO7	NO8	NO9	NO10	Accuracy of 10 folds	Variances
35	17	0.9436619718309859	0.9295774647887324	0.9577464788732394	0.8873239436619719	0.9014084507042254	0.9285714285714286	0.9428571428571428	0.9428571428571428	0.9714285714285714	0.9428571428571428	0.9348289738430584	0.02361464250500966
35	19	0.9295774647887324	0.9436619718309859	0.9577464788732394	0.8873239436619719	0.8591549295774648	0.9428571428571428	0.9428571428571428	0.9428571428571428	0.9714285714285714	0.9428571428571428	0.9320321931589538	0.03183271558942818
35	21	0.9295774647887324	0.9014084507042254	0.9295774647887324	0.8873239436619719	0.8591549295774648	0.9285714285714286	0.9142857142857143	0.9428571428571428	0.9714285714285714	0.9571428571428572	0.9221327967806842	0.03147462728090379
35	23	0.9295774647887324	0.9014084507042254	0.9154929577464789	0.8732394366197183	0.8591549295774648	0.9285714285714286	0.9142857142857143	0.9285714285714286	0.9714285714285714	0.9571428571428572	0.9178873239436619	0.032412663390562486
35	25	0.9295774647887324	0.9295774647887324	0.9154929577464789	0.8873239436619719	0.8450704225352113	0.9428571428571428	0.9	0.9285714285714286	0.9285714285714286	0.9428571428571428	0.914989939637827	0.028682337799871387
35	27	0.9295774647887324	0.9295774647887324	0.9014084507042254	0.8873239436619719	0.8450704225352113	0.9285714285714286	0.9142857142857143	0.9142857142857143	0.9428571428571428	0.9428571428571428	0.9135814889336016	0.02825414700876098
35	29	0.9295774647887324	0.9154929577464789	0.8873239436619719	0.8873239436619719	0.7887323943661971	0.9142857142857143	0.9	0.8714285714285714	0.9285714285714286	0.9428571428571428	0.8965593561368209	0.04167948190769035
35	31	0.9295774647887324	0.9014084507042254	0.8591549295774648	0.8732394366197183	0.7746478873239436	0.9	0.8714285714285714	0.8857142857142857	0.9142857142857143	0.9285714285714286	0.8838028169014084	0.04288559054339257
35	33	0.9014084507042254	0.8873239436619719	0.8591549295774648	0.8732394366197183	0.7464788732394366	0.9	0.8571428571428571	0.8714285714285714	0.8857142857142857	0.9142857142857143	0.8696177062374245	0.044661209988979926
35	35	0.8591549295774648	0.8873239436619719	0.8591549295774648	0.8732394366197183	0.7464788732394366	0.9	0.8428571428571429	0.8714285714285714	0.8857142857142857	0.9142857142857143	0.863963782696177	0.043915706093464436
