DEPTH	AC	CNL	DEN	GR	PE	RLLD	Litho_Pre	RES_ZY
3529.75	160.2920075	0.376	2.697999954	21.88800049	5.130000114	20474.3418	0	0
3529.875	160.7640076	0.472	2.703000069	20.26000023	5.090000153	13786.98731	0	0
3530	160.9450073	0.585	2.707000017	21.12199974	5.025000095	9035.680664	0	0
3530.125	161.6790009	0.708	2.707000017	23.10499954	4.962999821	5341.229004	0	0
3530.25	163.4989929	0.814	2.703999996	24.20299912	4.940999985	2985.465088	0	0
3530.375	165.4450073	0.87	2.697999954	25.21699905	4.974999905	1972.343018	2	2
3530.5	166.7350006	0.897	2.694000006	27.37599945	5.050000191	2228.388916	2	2
3530.625	166.7870026	0.91	2.691999912	30.27799988	5.124000073	3919.49292	2	2
3530.75	165.2489929	0.83	2.693000078	29.79800034	5.153999806	7964.379883	2	2
3530.875	163.0189972	0.654	2.697000027	24.94599915	5.130000114	15934.04981	0	0
3531	161.1600037	0.466	2.703000069	20.23399925	5.076000214	26590.77539	0	0
3531.125	159.9909973	0.328	2.709000111	19.12800026	5.03000021	34054.77734	0	0
3531.25	159.4470062	0.263	2.713999987	20.03300095	5.013000011	37845.20313	0	0
3531.375	159.1349945	0.264	2.720000029	20.37599945	5.019999981	39542.83203	0	0
3531.5	158.7149963	0.287	2.726000071	19.86000061	5.041999817	39777.88281	0	0
3531.625	158.375	0.29	2.727999926	18.02899933	5.068999767	39533.03125	0	0
3531.75	158.1799927	0.275	2.726000071	16.60099983	5.090000153	39001.82813	0	0
3531.875	157.9779968	0.262	2.720000029	16.66900063	5.100999832	37875.12109	0	0
3532	157.7859955	0.263	2.713000059	16.62400055	5.103000164	37064.16797	0	0
3532.125	157.602005	0.278	2.707000017	15.77499962	5.096000195	37759.05859	0	0
3532.25	157.3289948	0.298	2.704999924	14.70100021	5.072000027	37897.16016	0	0
3532.375	157.0119934	0.357	2.704999924	14.52000046	5.022999764	36408.36328	0	0
3532.5	156.8630066	0.472	2.704999924	14.94699955	4.946000099	33055.29688	0	0
