max_depth	min_samples_leaf	Accuracy
5	5	0.9573690621193667
5	7	0.9543239951278928
5	9	0.9494518879415347
5	11	0.9433617539585871
5	13	0.9427527405602923
5	15	0.9421437271619976
5	17	0.9415347137637028
5	19	0.9323995127892813
5	21	0.9311814859926918
5	23	0.9299634591961023
5	25	0.928136419001218
5	27	0.928136419001218
5	29	0.9269183922046285
5	31	0.9238733252131547
5	33	0.9238733252131547
5	35	0.9226552984165651
5	37	0.9208282582216809
5	39	0.9196102314250914
5	41	0.9190012180267966
5	43	0.917783191230207
5	45	0.917783191230207
5	47	0.9165651644336176
5	49	0.9147381242387332
5	51	0.9104750304506699
5	53	0.9043848964677222
5	55	0.9019488428745432
5	57	0.8989037758830695
5	59	0.8976857490864799
5	61	0.8946406820950061
5	63	0.8842874543239951
5	65	0.8842874543239951
5	67	0.8836784409257004
5	69	0.8836784409257004
5	71	0.8836784409257004
5	73	0.8836784409257004
5	75	0.8836784409257004
5	77	0.8806333739342266
5	79	0.8806333739342266
5	81	0.8806333739342266
5	83	0.8781973203410475
5	85	0.8781973203410475
5	87	0.8781973203410475
5	89	0.8781973203410475
5	91	0.8775883069427527
5	93	0.8763702801461632
5	95	0.8751522533495737
5	97	0.8739342265529841
5	99	0.8647990255785627
5	101	0.8647990255785627
7	5	0.9750304506699148
7	7	0.9713763702801461
7	9	0.9658952496954933
7	11	0.9573690621193667
7	13	0.9567600487210719
7	15	0.9549330085261876
7	17	0.951278928136419
7	19	0.9421437271619976
7	21	0.9403166869671132
7	23	0.9378806333739342
7	25	0.9348355663824605
7	27	0.9342265529841657
7	29	0.9330085261875761
7	31	0.9287454323995128
7	33	0.9287454323995128
7	35	0.9275274056029232
7	37	0.9244823386114495
7	39	0.9214372716199757
7	41	0.9208282582216809
7	43	0.9196102314250914
7	45	0.9196102314250914
7	47	0.9171741778319124
7	49	0.915347137637028
7	51	0.9104750304506699
7	53	0.9043848964677222
7	55	0.9019488428745432
7	57	0.8989037758830695
7	59	0.8976857490864799
7	61	0.8946406820950061
7	63	0.8842874543239951
7	65	0.8842874543239951
7	67	0.8836784409257004
7	69	0.8836784409257004
7	71	0.8836784409257004
7	73	0.8836784409257004
7	75	0.8836784409257004
7	77	0.8806333739342266
7	79	0.8806333739342266
7	81	0.8806333739342266
7	83	0.8781973203410475
7	85	0.8781973203410475
7	87	0.8781973203410475
7	89	0.8781973203410475
7	91	0.8775883069427527
7	93	0.8763702801461632
7	95	0.8751522533495737
7	97	0.8739342265529841
7	99	0.8647990255785627
7	101	0.8647990255785627
9	5	0.9829476248477467
9	7	0.9738124238733252
9	9	0.9677222898903776
9	11	0.9579780755176613
9	13	0.9567600487210719
9	15	0.9549330085261876
9	17	0.9524969549330086
9	19	0.9433617539585871
9	21	0.940925700365408
9	23	0.9378806333739342
9	25	0.9348355663824605
9	27	0.9342265529841657
9	29	0.9330085261875761
9	31	0.9287454323995128
9	33	0.9287454323995128
9	35	0.9275274056029232
9	37	0.9244823386114495
9	39	0.9214372716199757
9	41	0.9208282582216809
9	43	0.9196102314250914
9	45	0.9196102314250914
9	47	0.9171741778319124
9	49	0.915347137637028
9	51	0.9104750304506699
9	53	0.9043848964677222
9	55	0.9019488428745432
9	57	0.8989037758830695
9	59	0.8976857490864799
9	61	0.8946406820950061
9	63	0.8842874543239951
9	65	0.8842874543239951
9	67	0.8836784409257004
9	69	0.8836784409257004
9	71	0.8836784409257004
9	73	0.8836784409257004
9	75	0.8836784409257004
9	77	0.8806333739342266
9	79	0.8806333739342266
9	81	0.8806333739342266
9	83	0.8781973203410475
9	85	0.8781973203410475
9	87	0.8781973203410475
9	89	0.8781973203410475
9	91	0.8775883069427527
9	93	0.8763702801461632
9	95	0.8751522533495737
9	97	0.8739342265529841
9	99	0.8647990255785627
9	101	0.8647990255785627
11	5	0.9866017052375152
11	7	0.976857490864799
11	9	0.9695493300852619
11	11	0.9585870889159561
11	13	0.9567600487210719
11	15	0.9549330085261876
11	17	0.9524969549330086
11	19	0.9433617539585871
11	21	0.940925700365408
11	23	0.9378806333739342
11	25	0.9348355663824605
11	27	0.9342265529841657
11	29	0.9330085261875761
11	31	0.9287454323995128
11	33	0.9287454323995128
11	35	0.9275274056029232
11	37	0.9244823386114495
11	39	0.9214372716199757
11	41	0.9208282582216809
11	43	0.9196102314250914
11	45	0.9196102314250914
11	47	0.9171741778319124
11	49	0.915347137637028
11	51	0.9104750304506699
11	53	0.9043848964677222
11	55	0.9019488428745432
11	57	0.8989037758830695
11	59	0.8976857490864799
11	61	0.8946406820950061
11	63	0.8842874543239951
11	65	0.8842874543239951
11	67	0.8836784409257004
11	69	0.8836784409257004
11	71	0.8836784409257004
11	73	0.8836784409257004
11	75	0.8836784409257004
11	77	0.8806333739342266
11	79	0.8806333739342266
11	81	0.8806333739342266
11	83	0.8781973203410475
11	85	0.8781973203410475
11	87	0.8781973203410475
11	89	0.8781973203410475
11	91	0.8775883069427527
11	93	0.8763702801461632
11	95	0.8751522533495737
11	97	0.8739342265529841
11	99	0.8647990255785627
11	101	0.8647990255785627
13	5	0.9866017052375152
13	7	0.976857490864799
13	9	0.9695493300852619
13	11	0.9585870889159561
13	13	0.9567600487210719
13	15	0.9549330085261876
13	17	0.9524969549330086
13	19	0.9433617539585871
13	21	0.940925700365408
13	23	0.9378806333739342
13	25	0.9348355663824605
13	27	0.9342265529841657
13	29	0.9330085261875761
13	31	0.9287454323995128
13	33	0.9287454323995128
