Num_Hidden	Accuracy
100	0.8288672350791717
104	0.8221680876979294
108	0.8361753958587089
112	0.8349573690621194
116	0.8367844092570037
120	0.8355663824604141
124	0.8428745432399513
128	0.8361753958587089
132	0.8386114494518879
136	0.8380024360535931
140	0.8428745432399513
144	0.8398294762484775
148	0.8440925700365408
152	0.853836784409257
156	0.8483556638246041
160	0.856272838002436
164	0.8629719853836785
168	0.8568818514007308
172	0.8428745432399513
176	0.8574908647990256
180	0.8623629719853837
184	0.8641900121802679
188	0.8714981729598051
192	0.869062119366626
196	0.8654080389768575
200	0.8593179049939099
204	0.8678440925700366
208	0.8684531059683313
212	0.8800243605359318
216	0.8623629719853837
220	0.8702801461632156
224	0.8684531059683313
228	0.8781973203410475
232	0.881851400730816
236	0.8672350791717418
240	0.881851400730816
244	0.869062119366626
248	0.8855054811205847
252	0.8812423873325214
256	0.8848964677222899
260	0.8836784409257004
264	0.881851400730816
268	0.8873325213154689
272	0.8915956151035322
276	0.8879415347137637
280	0.8915956151035322
284	0.8903775883069428
288	0.8873325213154689
292	0.8842874543239951
296	0.8934226552984166
