Depth	AC	CNL	DEN	GR	PE	RLLD	LIMSTONE	RES
3354.9	155.787	2.052	2.796	14.222	3.231	13099.897	4	0
3355	155.353	2.107	2.805	14.328	3.144	10609.604	4	0
3355.1	154.729	2.129	2.81	14.111	3.09	9437.259	4	0
3355.2	154.212	2.113	2.811	14.081	3.084	8861.933	4	0
3355.3	153.923	2.059	2.809	14.07	3.127	8624.103	4	0
3355.4	153.926	1.973	2.806	14.007	3.207	8650.45	4	0
3355.5	154.233	1.918	2.804	13.901	3.277	8980.58	4	0
3355.6	154.755	1.972	2.804	14.139	3.296	10155.709	4	0
3355.7	155.161	2.105	2.805	14.347	3.26	11803.88	4	0
3355.8	155.359	2.273	2.806	14.293	3.174	13383.576	4	0
3355.9	155.305	2.419	2.804	13.925	3.054	14375.102	4	0
3356	155.011	2.473	2.802	13.336	2.949	14272.245	3	0
3356.1	154.551	2.477	2.8	13.08	2.881	12512.703	3	0
3356.2	154.151	2.464	2.799	13.009	2.851	10552.45	3	0
3356.3	153.873	2.439	2.799	12.818	2.857	8975.477	3	0
3356.4	153.746	2.393	2.799	12.409	2.902	8059.641	3	0
3356.5	153.768	2.308	2.802	11.831	2.982	7853.413	3	0
3356.6	153.885	2.241	2.806	11.295	3.05	7924.148	4	0
3356.7	153.927	2.204	2.811	11.306	3.091	7712.555	4	0
3356.8	153.845	2.185	2.816	11.807	3.104	7288.66	4	0
3356.9	153.625	2.158	2.821	12.452	3.094	6795.126	3	0
3357	153.289	2.088	2.825	12.715	3.059	6435.962	3	0
3357.1	153.005	2.015	2.827	12.445	3.004	6511.879	3	0
3357.2	152.958	1.925	2.827	12.155	2.936	6920.709	3	0
3357.3	153.194	1.796	2.825	11.785	2.868	7813.147	3	0
3357.4	153.714	1.602	2.818	11.426	2.818	9397.497	3	0
3357.5	154.473	1.335	2.81	11.267	2.826	11893.459	3	0
3357.6	155.32	1.093	2.8	11.38	2.886	15607.899	3	0
3357.7	156.018	0.921	2.789	11.351	2.985	19389.197	4	0
3357.8	156.511	0.837	2.778	11.089	3.109	22816.834	4	0
3357.9	156.777	0.832	2.771	10.689	3.233	25646.547	4	0
3358	156.823	0.863	2.769	10.368	3.315	27747.775	4	0
3358.1	156.645	0.877	2.77	10.307	3.372	28621.355	4	0
3358.2	156.415	0.889	2.772	10.41	3.412	28153.674	4	0
3358.3	156.191	0.913	2.773	10.582	3.44	26755.406	4	0
3358.4	156.009	0.964	2.772	10.726	3.454	25335.264	4	0
3358.5	155.893	1.018	2.768	10.729	3.445	25215.678	4	0
3358.6	155.826	1.042	2.763	10.16	3.425	28898.039	4	0
3358.7	155.72	1.039	2.759	9.642	3.402	32561.297	4	0
3358.8	155.533	1.024	2.759	9.462	3.377	33298.164	4	0
3358.9	155.239	1.023	2.764	9.696	3.356	29802.566	4	0
3359	154.826	1.1	2.772	10.243	3.359	22087.629	4	0
3359.1	154.297	1.268	2.779	10.46	3.377	14261.461	4	0
3359.2	153.784	1.472	2.785	10.582	3.395	9837.04	4	0
3359.3	153.318	1.676	2.79	10.602	3.399	8062.341	4	0
3359.4	152.908	1.846	2.794	10.51	3.372	7986.861	4	0
3359.5	152.543	1.946	2.795	10.306	3.299	8380.407	4	0
3359.6	152.178	1.992	2.797	10.056	3.223	8253.509	4	0
3359.7	151.813	2.019	2.801	9.907	3.162	7906.827	4	0
3359.8	151.481	2.042	2.808	10.112	3.128	7464.695	4	0
3359.9	151.221	2.066	2.816	10.629	3.126	7015.77	4	0
3360	151.077	2.062	2.823	11.207	3.153	6635.632	4	0
3360.1	151.155	2.008	2.829	11.226	3.176	6453.647	3	0
3360.2	151.344	1.961	2.834	11.596	3.184	6411.867	3	0
3360.3	151.577	1.956	2.835	12.263	3.177	6468.886	3	0
3360.4	151.805	2.024	2.829	12.78	3.163	6564.766	3	0
3360.5	151.989	2.185	2.816	12.49	3.171	6612.452	4	0
3360.6	152.093	2.338	2.789	11.808	3.207	6314.854	4	0
3360.7	152.151	2.427	2.769	11.679	3.262	5748.985	4	0
3360.8	152.165	2.441	2.76	11.94	3.336	5093.44	4	0
3360.9	152.126	2.399	2.755	12.234	3.429	4512.366	4	0
3361	152.025	2.393	2.756	12.107	3.532	4164.227	4	0
3361.1	151.819	2.52	2.758	11.979	3.611	4148.296	4	0
3361.2	151.581	2.772	2.76	11.908	3.649	4125.062	4	0
3361.3	151.359	3.124	2.761	11.832	3.646	4003.221	4	0
3361.4	151.189	3.527	2.763	11.81	3.607	3751.265	4	0
3361.5	151.104	3.849	2.766	11.965	3.542	3381.24	4	0
3361.6	151.141	4.002	2.77	12.365	3.465	2949.939	4	0
3361.7	151.221	4.027	2.775	12.853	3.38	2545.714	4	0
3361.8	151.322	3.966	2.78	13.389	3.3	2186.444	4	0
3361.9	151.435	3.857	2.786	13.862	3.235	1881.708	4	0
3362	151.552	3.698	2.79	14.117	3.224	1634.416	4	0
3362.1	151.687	3.492	2.794	14.148	3.242	1480.552	4	0
3362.2	151.833	3.256	2.799	14.348	3.271	1440.878	4	0
3362.3	151.981	3.012	2.804	14.553	3.294	1543.06	4	0
3362.4	152.125	2.792	2.811	14.677	3.298	1805.933	4	0
3362.5	152.26	2.643	2.817	14.681	3.274	2238.228	4	0
3362.6	152.396	2.542	2.823	14.577	3.238	2928.547	4	0
3362.7	152.559	2.456	2.827	14.45	3.198	3834.811	4	0
3362.8	152.76	2.363	2.829	14.339	3.159	4938.179	3	0
3362.9	153.007	2.254	2.831	14.389	3.123	6164.984	3	0
3363	153.295	2.159	2.833	14.795	3.101	7381.084	3	0
3363.1	153.613	2.136	2.832	15.581	3.094	8090.262	3	0
3363.2	153.908	2.161	2.825	16.352	3.099	8247.177	3	0
3363.3	154.164	2.204	2.814	16.685	3.119	8012.148	4	0
3363.4	154.366	2.229	2.8	16.606	3.152	7573.014	4	0
3363.5	154.508	2.223	2.787	16.418	3.209	7166.918	4	0
3363.6	154.572	2.228	2.778	16.118	3.31	7200.992	4	0
3363.7	154.623	2.238	2.777	15.865	3.443	7556.508	4	0
3363.8	154.704	2.24	2.785	15.837	3.577	8112.32	4	0
3363.9	154.85	2.219	2.799	16.18	3.669	8763.969	4	0
3364	155.092	2.136	2.812	16.983	3.604	9400.262	4	0
3364.1	155.481	2.017	2.819	17.651	3.456	9811.547	4	0
3364.2	155.904	1.9	2.819	18.309	3.289	10067.461	4	0
3364.3	156.289	1.797	2.81	18.628	3.148	10459.588	4	0
3364.4	156.572	1.71	2.796	18.573	3.067	11344.015	4	0
3364.5	156.702	1.612	2.778	18.301	3.072	13109.821	4	0
3364.6	156.606	1.518	2.762	17.832	3.11	16141.657	4	0
3364.7	156.459	1.449	2.751	17.359	3.17	19201.381	4	0
3364.8	156.348	1.402	2.744	16.878	3.244	21959.055	4	0
3364.9	156.336	1.369	2.741	16.543	3.328	24239.119	4	0
3365	156.468	1.355	2.741	16.573	3.419	25956.412	4	0
3365.1	156.797	1.343	2.741	16.681	3.583	26514.443	1	0
3365.2	157.179	1.311	2.742	16.835	3.813	25880.396	1	0
3365.3	157.568	1.254	2.742	16.861	4.082	24366.672	1	0
3365.4	157.934	1.172	2.741	16.751	4.345	22455.729	1	0
3365.5	158.262	1.087	2.735	16.595	4.524	20849.898	1	4
3365.6	158.538	1.016	2.727	16.518	4.682	21624.113	1	4
3365.7	158.77	0.96	2.713	16.165	4.837	24712.254	0	4
3365.8	158.949	0.919	2.698	15.604	4.986	29259.344	0	4
3365.9	159.061	0.894	2.688	15.136	5.108	34260.426	0	4
3366	159.1	0.908	2.68	15.197	5.176	38509.156	0	4
3366.1	159.044	0.955	2.675	15.902	5.212	40329.91	0	4
3366.2	158.959	1.002	2.676	16.421	5.219	41061.734	0	4
3366.3	158.887	1.02	2.681	16.476	5.194	41324.727	0	4
3366.4	158.86	0.986	2.688	16.14	5.135	41436.746	0	4
3366.5	158.909	0.886	2.693	15.729	5.021	41558.758	0	4
3366.6	159.078	0.772	2.696	15.746	4.927	41696.473	0	4
3366.7	159.268	0.676	2.696	15.678	4.889	41793.48	0	4
3366.8	159.43	0.613	2.694	15.336	4.922	41829.406	0	4
3366.9	159.535	0.586	2.692	14.679	5.028	41811.254	0	4
3367	159.569	0.601	2.691	13.813	5.157	41769.281	0	4
3367.1	159.533	0.648	2.692	13.546	5.236	41799.355	0	4
3367.2	159.482	0.72	2.695	13.825	5.268	41881.461	0	4
3367.3	159.404	0.809	2.7	14.209	5.257	41973.504	0	4
3367.4	159.286	0.906	2.706	14.57	5.203	42042.578	0	4
3367.5	159.103	0.994	2.71	14.947	5.098	42059.586	0	4
3367.6	158.837	1.062	2.712	15.165	4.991	41973.168	0	4
3367.7	158.598	1.088	2.713	15.31	4.915	41736.438	0	4
3367.8	158.445	1.049	2.714	15.345	4.888	40770.438	0	4
3367.9	158.418	0.925	2.712	15.637	4.918	38340.676	0	4
3368	158.537	0.661	2.706	16.781	4.975	33681.129	0	4
3368.1	158.784	0.33	2.698	18.722	5.003	26530.814	0	4
3368.2	158.977	0.014	2.689	19.885	5.01	20524.006	0	4
3368.3	159.045	-0.241	2.682	20.275	5.01	16704.484	0	4
3368.4	158.951	-0.414	2.68	20.212	5.026	15036.432	0	4
3368.5	158.692	-0.52	2.684	20.21	5.084	14637.047	0	4
3368.6	158.337	-0.598	2.695	19.833	5.15	13314.971	0	4
3368.7	158.062	-0.644	2.71	18.592	5.211	11236.393	0	4
3368.8	157.9	-0.661	2.724	16.831	5.263	9117.436	0	0
3368.9	157.853	-0.653	2.732	14.854	5.3	7415.891	0	0
3369	157.898	-0.631	2.733	12.982	5.262	6423.3	0	0
3369.1	157.987	-0.579	2.734	11.828	5.123	6125.802	0	0
3369.2	158.097	-0.502	2.736	10.904	4.923	5956.929	0	4
3369.3	158.25	-0.415	2.74	10.273	4.701	5827.481	1	4
3369.4	158.465	-0.331	2.748	10.03	4.512	5711.619	1	4
3369.5	158.749	-0.27	2.756	10.257	4.412	5622.236	1	0
3369.6	159.081	-0.23	2.763	10.732	4.34	5649.993	1	0
3369.7	159.359	-0.196	2.766	10.935	4.286	5702.582	1	0
3369.8	159.535	-0.154	2.766	10.919	4.247	5697.549	1	0
3369.9	159.585	-0.092	2.764	10.783	4.228	5605.582	1	0
3370	159.496	0.002	2.762	10.666	4.231	5442.029	1	0
3370.1	159.272	0.159	2.76	10.552	4.234	5429.32	1	0
